t,a,b,c,q0,q1,q2,q3,phi
0.59,0.26802692341402923,0.018373323487186007,0.08320520330107584,0.990083289932721,0.13387008781237258,0.0035394877159272255,0.04244232099939755,0.0118
0.595,0.26906247531010685,0.018885355494450723,0.08506613985108837,0.9899701000198321,0.13439639339689818,0.0036459471544502747,0.043399511264259644,0.011899999999999999
0.6,0.2700741413543385,0.019405289196170867,0.08694828003899487,0.9898567246614938,0.13491134664671778,0.0037544041123022346,0.044367754486233944,0.012
0.605,0.2710619984016818,0.019933093228234264,0.08885151577154023,0.9897431437854721,0.1354150010622583,0.0038648650973525387,0.04534699146291793,0.0121
0.61,0.27202612865077397,0.020468733088793364,0.09077573424237022,0.9896293364311526,0.13590741280585195,0.0039773359622021776,0.04633716022697324,0.0122
0.615,0.2729666196189918,0.02101217128690366,0.09272081820548124,0.9895152807649411,0.13638864068253725,0.004091821941166383,0.047338196191356985,0.0123
0.62,0.2738835642854236,0.021563366821335847,0.09468664533521315,0.9894009541119431,0.13685874618707658,0.004208327413136827,0.048350031797940854,0.0124
0.625,0.2747770609434302,0.022122275667113132,0.09667308873133879,0.9892863329737892,0.13731779343118844,0.004326856091377401,0.04937259680052155,0.0125
0.63,0.27564721318744545,0.02268885082178503,0.09868001697222432,0.9891713930515154,0.13776584912709736,0.00444741102209135,0.05040581829526229,0.0126
0.635,0.27649412991297606,0.023263042305427327,0.10070729411482922,0.989056109269979,0.13820298257629587,0.0045699945626438915,0.05144962072206753,0.012700000000000001
0.64,0.2773179253166015,0.023844797160642132,0.10275477969470621,0.9889404558031213,0.13862926565807449,0.0046946083590564515,0.052503925866289596,0.0128
0.645,0.2781187188959742,0.024434059452557822,0.10482232872600133,0.9888244061000527,0.13904477281781544,0.004821253322786827,0.053568652860770845,0.0129
0.65,0.2788966354498195,0.02503077026882909,0.1069097917014539,0.9887079329119519,0.13944958105504884,0.0049499296068103256,0.05464371818822502,0.013000000000000001
0.655,0.27965180507793547,0.02563486771963691,0.10901701459239656,0.988591008319756,0.13984376991126746,0.005080636581017164,0.05572903568396105,0.0131
0.66,0.2803843631811931,0.02624628693768856,0.11114383884875519,0.988473603762625,0.1402274214574981,0.005213372806942184,0.056824516538952784,0.013200000000000002
0.665,0.2810944504614651,0.026864960078405144,0.11329010139918798,0.9883556900671631,0.1406006202815977,0.005348136011928255,0.05793006930333934,0.013300000000000001
0.67,0.28178221268359144,0.027490816971486726,0.11545563514622753,0.9882372374724684,0.14096345337705152,0.005484923356722439,0.059045600179613925,0.0134
0.675,0.2824478009383895,0.028123784504556052,0.11764026854531992,0.9881182156597513,0.14131601024315016,0.005623731125602351,0.06017101277669946,0.013500000000000002
0.68,0.28309137169227594,0.028763786427702415,0.119843825424549,0.9879985937876049,0.1416583828901052,0.005764554613165367,0.061306208011808264,0.013600000000000001
0.685,0.2837130865112161,0.029410744058139753,0.12206612549537216,0.98787834051993,0.14199066571062183,0.005907388416440425,0.06245108441605172,0.013700000000000002
0.6900000000000001,0.2843131120607242,0.030064576280206656,0.12430698435262037,0.987757424056914,0.1423129554676291,0.006052226406108346,0.06360553813975497,0.013800000000000002
0.6950000000000001,0.28489162010586333,0.030725199545366365,0.12656621347449815,0.9876358121665805,0.14262535128179238,0.006199061697222225,0.06476946295808123,0.013900000000000001
0.7000000000000001,0.2854487875112453,0.03139252787220677,0.12884362022258355,0.9875134722168911,0.14292795461880578,0.006347886619446326,0.06594275027696815,0.014000000000000002
0.705,0.28598479624103085,0.03206647284644039,0.13113900784182816,0.9873903712083744,0.14322086927646294,0.00649869268683231,0.06712528913937765,0.0141
0.71,0.28649983335892953,0.032746943620904446,0.1334521754605572,0.9872664758072646,0.1435042013715033,0.006651470567152221,0.06831696623186127,0.014199999999999999
0.715,0.28699409102819967,0.03343384691556076,0.13578291809046944,0.9871417523791263,0.14377805932623283,0.006806210050807631,0.06951766589144205,0.0143
0.72,0.2874677665116485,0.034127087017495825,0.13813102662663707,0.9870161670229434,0.14404255385491724,0.006962900019335338,0.0707272701128141,0.0144
0.725,0.287921062171632,0.03482656578092077,0.14049628784750592,0.9868896856056483,0.14429779794994627,0.007121528413529695,0.07194565855586071,0.014499999999999999
0.73,0.288354185155159,0.03553218327775725,0.1428784848370185,0.9867622737953438,0.1445439067360875,0.00728208250332108,0.07317270880681521,0.0146
0.735,0.28876734736252996,0.036243837987665305,0.14527739710159793,0.986633897089884,0.1447809974498351,0.00744454894220933,0.0744082964574901,0.0147
0.74,0.28916076619989806,0.03696142522332049,0.1476927995471374,0.9865045208567897,0.14500918973955565,0.007608913003581744,0.07565229449988296,0.0148
0.745,0.2895346638111248,0.03768483861062829,0.15012446344357958,0.9863741103684227,0.14522860532618428,0.0077751592366025486,0.07690457391312573,0.0149
0.75,0.28988926705416435,0.03841397013579094,0.1525721564555291,0.9862426308357974,0.14543936798091647,0.00794327145535084,0.07816500369080091,0.015
